federalmanagement.co.uk: [14/Aug/2015:00:00:48 +0100] 66.249.64.29 - - "GET /news/tag/international-debt-collection/feed HTTP/1.0" 301 0 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
federalmanagement.co.uk: [14/Aug/2015:00:01:17 +0100] 66.249.64.24 - - "GET /news/tag/international-debt-collection/feed/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
federalmanagement.co.uk: [14/Aug/2015:00:01:26 +0100] 82.94.176.142 - - "GET /news/2014/06/client-feedback/ HTTP/1.0" 200 30224 "http://www.federalmanagement.co.uk/news" "Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)"
federalmanagement.co.uk: [14/Aug/2015:00:02:23 +0100] 74.125.93.179 - - "GET /news/feed/ HTTP/1.0" 304 0 "-" "FeedBurner/1.0 (http://www.FeedBurner.com)"
federalmanagement.co.uk: [14/Aug/2015:00:03:09 +0100] 82.94.176.142 - - "GET /news/2014/08/ HTTP/1.0" 200 20648 "http://www.federalmanagement.co.uk/news/2012/05/fsa-issues-still-to-be-resolved/" "Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)"
federalmanagement.co.uk: [14/Aug/2015:00:04:38 +0100] 68.180.230.168 - - "GET /news/2011/09/debtor-profiling-saving-time-and-money/debt_collection/debt_collection.php HTTP/1.0" 404 - "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
federalmanagement.co.uk: [14/Aug/2015:00:04:50 +0100] 82.94.176.142 - - "GET /news/tag/company-video/ HTTP/1.0" 200 20782 "http://www.federalmanagement.co.uk/news/category/company-news/" "Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)"
federalmanagement.co.uk: [14/Aug/2015:00:05:23 +0100] 66.249.64.24 - - "GET /news/2013/12/christmas-new-year-opening-hours-2/css/nivo-slider.css HTTP/1.0" 404 - "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
federalmanagement.co.uk: [14/Aug/2015:00:06:07 +0100] 66.249.64.24 - - "GET /news/2010/07/new-rules-for-aggressive-mortgage-lenders/css/nivo-slider.css HTTP/1.0" 404 - "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
federalmanagement.co.uk: [14/Aug/2015:00:06:37 +0100] 82.94.176.142 - - "GET /news/tag/federal-management-debt-recovery/ HTTP/1.0" 200 20877 "http://www.federalmanagement.co.uk/news/category/company-news/" "Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)"
federalmanagement.co.uk: [14/Aug/2015:00:07:30 +0100] 66.249.89.17 - - "GET /news/2014/09/csa-cai-accreditation/ HTTP/1.0" 200 28455 "-" "Mozilla/5.0 (compatible) Feedfetcher-Google;(+http://www.google.com/feedfetcher.html)"
